DISTANCE,TEMPERATURE,TIME
978.0,603.6,-139272.43884000002
978.01,603.6,-139255.75551000002
978.01,603.6,-139239.07218000002
986.0,603.7,-139222.38885000002
976.02,603.7,-139205.70552000002
984.0,603.7,-139189.02219000002
984.0,603.7,-139172.33886000002
976.0,603.7,-139155.65553000002
978.01,603.7,-139138.97220000002
978.01,603.7,-139122.28887000002
980.01,603.7,-139105.60554000002
978.01,603.7,-139088.92221000002
980.01,603.7,-139072.23888000002
976.0,603.7,-139055.55555000002
976.0,603.7,-139038.87222000002
984.0,603.6,-139022.18889000002
984.0,603.6,-139005.50556000002
984.0,603.6,-138988.82223000002
978.0,603.6,-138972.13890000002
978.01,603.6,-138955.45557000002
978.01,603.6,-138938.77224000002
980.0,603.6,-138922.08891000002
978.01,603.6,-138905.40558000002
978.0,603.6,-138888.72225000002
978.0,603.6,-138872.03892000002
986.0,603.6,-138855.35559000002
980.0,603.6,-138838.67226000002
978.01,603.7,-138821.98893000002
978.01,603.7,-138805.30560000002
986.0,603.7,-138788.62227000002
978.0,603.7,-138771.93894000002
978.01,603.7,-138755.25561000002
978.01,603.7,-138738.57228000002
984.0,603.7,-138721.88895000002
978.0,603.7,-138705.20562000002
982.0,603.7,-138688.52229000002
982.0,603.7,-138671.83896000002
984.0,603.7,-138655.15563000002
974.01,603.7,-138638.47230000002
982.0,603.7,-138621.78897000002
980.01,603.7,-138605.10564000002
986.0,603.7,-138588.42231000002
976.01,603.7,-138571.73898000002
978.0,603.7,-138555.05565000002
986.0,603.7,-138538.37232000002
978.0,603.7,-138521.68899000002
984.0,603.7,-138505.00566000002
980.01,603.7,-138488.32233000002
980.01,603.7,-138471.63900000002
980.01,603.7,-138454.95567000002
978.01,603.7,-138438.27234000002
980.0,603.8,-138421.58901000003
980.0,603.8,-138404.90568000003
976.01,603.8,-138388.22235000003
980.0,603.8,-138371.53902000003
976.03,603.8,-138354.85569000003
976.03,603.8,-138338.17236000003
976.02,603.8,-138321.48903000003
984.0,603.8,-138304.80570000003
976.01,603.8,-138288.12237000003
976.01,603.8,-138271.43904000003
986.01,603.8,-138254.75571000003
984.0,603.8,-138238.07238000003
980.0,603.8,-138221.38905000003
986.0,603.8,-138204.70572000003
984.01,603.8,-138188.02239
974.02,603.8,-138171.33906
986.01,603.8,-138154.65573
980.0,603.8,-138137.9724
980.01,603.8,-138121.28907
980.01,603.8,-138104.60574
986.0,603.8,-138087.92241
986.01,603.8,-138071.23908
976.03,603.8,-138054.55575
984.03,603.8,-138037.87242
980.0,603.9,-138021.18909
980.0,603.9,-138004.50576
978.0,603.9,-137987.82243
980.0,603.9,-137971.1391
986.0,603.9,-137954.45577
986.0,603.9,-137937.77244
982.0,603.9,-137921.08911
982.0,603.9,-137904.40578
986.01,603.9,-137887.72245
986.01,603.9,-137871.03912
980.01,603.9,-137854.35579
978.01,603.9,-137837.67246
984.0,603.9,-137820.98913
984.0,603.9,-137804.3058
984.0,603.9,-137787.62247
976.01,603.9,-137770.93914
984.01,603.9,-137754.25581
972.01,603.9,-137737.57248
976.02,603.9,-137720.88915
976.02,603.9,-137704.20582
986.0,603.9,-137687.52249
978.0,603.9,-137670.83916
978.01,603.9,-137654.15583
976.02,603.9,-137637.4725
986.01,603.9,-137620.78917
984.02,603.9,-137604.10584
986.01,603.9,-137587.42251
976.01,603.9,-137570.73918
978.02,603.9,-137554.05585
980.02,603.9,-137537.37252
986.0,603.9,-137520.68919
986.0,603.9,-137504.00586
986.0,603.9,-137487.32253
984.0,603.9,-137470.6392
984.0,603.9,-137453.95587
984.02,603.9,-137437.27254
978.01,604.0,-137420.58921
978.0,604.0,-137403.90588
980.01,604.0,-137387.22255
980.03,604.0,-137370.53922
986.0,604.0,-137353.85589
986.0,604.0,-137337.17256
978.01,604.0,-137320.48923
978.01,604.0,-137303.8059
978.01,604.0,-137287.12257
978.0,604.0,-137270.43924
976.01,604.0,-137253.75591
976.01,604.0,-137237.07258
978.0,604.0,-137220.38925
984.0,604.0,-137203.70592
978.01,604.0,-137187.02259
978.01,604.0,-137170.33926
976.02,604.0,-137153.65593
976.02,604.0,-137136.9726
978.01,604.0,-137120.28927
978.01,604.0,-137103.60594
986.0,604.0,-137086.92261
986.0,604.0,-137070.23928
978.0,604.0,-137053.55595
986.0,604.0,-137036.87262
986.0,604.0,-137020.18929
978.0,604.0,-137003.50596
980.01,604.0,-136986.82263
980.01,604.0,-136970.1393
974.01,604.0,-136953.45597
974.01,604.0,-136936.77264
984.0,604.0,-136920.08931
986.0,604.0,-136903.40598
980.01,604.0,-136886.72265
980.01,604.0,-136870.03932
978.0,604.0,-136853.35599
986.02,604.0,-136836.67266
978.02,604.1,-136819.98933
982.03,604.1,-136803.306
986.01,604.1,-136786.62267
980.0,604.1,-136769.93934
986.0,604.1,-136753.25601
986.0,604.1,-136736.57268
978.0,604.1,-136719.88935
984.0,604.1,-136703.20602
978.0,604.1,-136686.52269
978.0,604.1,-136669.83936
976.01,604.1,-136653.15603
978.0,604.1,-136636.4727
