DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
1049.65985,559.95,-166080.88182,1.00813,1050.1969444444446,560.4,-163621.758975,1.0065802777777777,1049.68773,560.3,-164211.23664,1.00805
1049.7741,560.05,-165580.38192,1.0078,1050.5966666666666,560.5,-163454.925675,1.0054345833333336,1050.4494,560.4,-163777.47006,1.00585
1049.70521,560.15,-165059.86202,1.008,1050.060277777778,560.6,-162754.22581500007,1.0069786111111114,1050.28463,560.5,-163276.97016,1.00633
1049.67942,560.25,-164554.35712,1.00807,1049.8858333333335,560.7,-162353.82589500002,1.0074824999999998,1050.18093,560.6,-162854.3258,1.00663
1049.70781,560.35,-164067.20389,1.00799,1050.509444444444,560.8,-161953.425975,1.0056783333333337,1050.15185,560.7,-162353.8259,1.00671
1049.74117,560.45,-163546.68399,1.0079,1050.057833333334,560.9,-161152.62613500006,1.0069716666666673,1050.15104,560.8,-161819.95934,1.00671
1049.94595,560.55,-163006.1441,1.0073,1050.4200000000003,561.0,-160552.026255,1.0059200000000004,1050.32909,560.9,-161219.35946,1.00619
1050.03349,560.65,-162500.6392,1.00705,1049.7416666666668,561.1,-160151.62633500007,1.0078850000000001,1050.07317,561.0,-160618.75958,1.00693
1050.14208,560.75,-162000.1393,1.00673,1049.3975,561.2,-159751.22641500007,1.008878333333333,1049.85306,561.1,-160151.62634,1.00756
1050.04695,560.85,-161489.6294,1.00701,1049.6033333333341,561.3,-159150.62653500002,1.008297666666667,1049.58083,561.2,-159684.4931,1.00835
1050.06851,560.95,-160972.44617,1.00695,1050.4124999999997,561.4,-158449.92667500002,1.0059579166666668,1049.80444,561.3,-159117.25988,1.00771
1049.97367,561.05,-160431.90628,1.00722,1049.648333333333,561.5,-158049.52675500006,1.0081708333333332,1049.88806,561.4,-158550.02666,1.00748
1050.01103,561.15,-159911.38638,1.00711,1050.4338888888888,561.6,-157549.026855,1.005899444444445,1050.16491,561.5,-158016.1601,1.00668
1050.03376,561.25,-159370.84649,1.00705,1050.1130555555555,561.7,-156948.42697500007,1.0068291666666664,1050.06509,561.6,-157515.6602,1.00697
1050.07077,561.35,-158820.2966,1.00694,1050.879583333333,561.8,-156447.92707500007,1.0046170833333334,1050.47551,561.7,-156981.79364,1.00578
1050.19615,561.45,-158309.7867,1.00658,1051.3116666666665,561.9,-156047.52715500002,1.0033879166666668,1050.7681,561.8,-156481.29374,1.00494
1050.18888,561.55,-157799.27681,1.00661,1050.347291666667,562.0,-155446.927275,1.0061452083333335,1050.84618,561.9,-155980.79384,1.00472
1050.17419,561.65,-157258.73691,1.00665,1049.5947222222223,562.1,-154746.227415,1.008312222222222,1050.41789,562.0,-155413.56062,1.00595
